94274,20110701,0053,12,CLR, ,10.00, , , ,51, ,10.6, ,49, ,9.1, ,46, ,7.8, , 83, , 7, ,200, , , ,29.88, ,1, ,003, ,30.22, ,AA, , , ,30.22, 
94274,20110701,0153,12,FEW090, ,10.00, , , ,49, ,9.4, ,47, ,8.3, ,45, ,7.2, , 86, , 3, ,180, , , ,29.88, , , , , ,30.22, ,AA, , , ,30.22, 
94274,20110701,0253,12,FEW085, ,10.00, , , ,48, ,8.9, ,47, ,8.3, ,46, ,7.8, , 93, , 3, ,170, , , ,29.88, , , , , ,30.22, ,AA, , , ,30.22, 
94274,20110701,0353,12,CLR, ,10.00, , , ,49, ,9.4, ,48, ,8.6, ,46, ,7.8, , 89, , 0, ,000, , , ,29.87, ,8, ,004, ,30.21, ,AA, , , ,30.21, 
94274,20110701,0453,12,CLR, ,10.00, , , ,47, ,8.3, ,46, ,7.7, ,45, ,7.2, , 93, , 0, ,000, , , ,29.87, , , , , ,30.21, ,AA, , , ,30.21, 
94274,20110701,0553,12,CLR, ,10.00, , , ,50, ,10.0, ,48, ,9.1, ,47, ,8.3, , 90, , 0, ,000, , , ,29.88, , , , , ,30.22, ,AA, , , ,30.22, 
94274,20110701,0626,12,FEW005, ,10.00, , , ,52, ,11.0, ,50, ,9.9, ,48, ,9.0, , 86, , 0, ,000, , , ,29.88, , , , , ,M, ,SP, , , ,30.22, 
94274,20110701,0653,12,SCT007, ,10.00, , , ,52, ,11.1, ,50, ,9.9, ,48, ,8.9, , 86, , 3, ,VR , , , ,29.88, ,3, ,004, ,30.22, ,AA, , , ,30.22, 
94274,20110701,0753,12,SCT009, ,10.00, , , ,56, ,13.3, ,52, ,11.2, ,49, ,9.4, , 78, , 5, ,290, , , ,29.87, , , , , ,30.21, ,AA, , , ,30.21, 
94274,20110701,0853,12,SCT013, ,10.00, , , ,57, ,13.9, ,52, ,11.2, ,48, ,8.9, , 72, , 5, ,VR , , , ,29.87, , , , , ,30.21, ,AA, , , ,30.21, 
94274,20110701,0953,12,SCT020, ,10.00, , , ,60, ,15.6, ,53, ,11.5, ,46, ,7.8, , 60, , 3, ,VR , , , ,29.86, ,8, ,009, ,30.19, ,AA, , , ,30.20, 
94274,20110701,1053,12,FEW035, ,10.00, , , ,63, ,17.2, ,54, ,12.2, ,46, ,7.8, , 54, , 3, ,290, , , ,29.85, , , , , ,30.19, ,AA, , , ,30.19, 
94274,20110701,1153,12,FEW035, ,10.00, , , ,63, ,17.2, ,53, ,11.7, ,44, ,6.7, , 50, , 3, ,160, , , ,29.84, , , , , ,30.18, ,AA, , , ,30.18, 
